,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
28,24,2020-01-18,2,C,1,1,1,2,1,4,7,5,5,8,5,5,5,6,3,6,5,5,6,5,3,6,3,4,102,RODANGE,N5,Rodange vers France,France,Rodange,55248.91,68011.25,18,16
29,24,2020-01-18,3,C,2,3,3,3,3,6,9,12,11,16,11,9,11,14,9,11,10,9,11,9,6,9,6,6,199,RODANGE,N5,France <-> Rodange deux sens ,France,Rodange,55248.91,68011.25,39,30
30,25,2020-01-18,1,C,0,1,1,2,0,1,0,3,1,4,6,5,1,4,6,3,3,1,1,0,1,1,0,0,45,PETANGE,N5b,Pétange vers Athus,Pétange,Athus,57345.37,69400.0,8,5
31,25,2020-01-18,2,C,2,1,0,3,1,5,12,8,5,3,8,5,5,6,5,4,5,3,1,0,1,2,1,1,87,PETANGE,N5b,Athus vers Pétange,Pétange,Athus,57345.37,69400.0,16,9
32,25,2020-01-18,3,C,2,2,1,5,1,6,12,11,6,7,14,10,6,10,11,7,8,4,2,0,2,3,1,1,132,PETANGE,N5b,Pétange <-> Athus deux sens ,Pétange,Athus,57345.37,69400.0,24,14
33,26,2020-01-18,1,C,5,6,5,14,12,16,29,29,23,17,28,22,15,15,13,15,9,11,6,8,6,4,2,8,318,PETANGE,N31,Lamadelaine vers Biff,Lamadelaine,Biff,58072.58,69260.56,69,26
34,26,2020-01-18,2,C,5,6,3,4,13,21,30,31,21,28,24,20,20,14,14,13,17,9,13,7,5,7,5,3,333,PETANGE,N31,Biff vers Lamadelaine,Lamadelaine,Biff,58072.58,69260.56,80,39
35,26,2020-01-18,3,C,10,12,8,18,25,37,59,60,44,45,52,42,35,29,27,28,26,20,19,15,11,11,7,11,651,PETANGE,N31,Lamadelaine <-> Biff deux sens ,Lamadelaine,Biff,58072.58,69260.56,149,65
36,27,2020-01-18,1,C,0,0,0,1,0,0,0,0,1,2,0,1,0,3,1,1,2,1,1,1,1,0,0,0,16,VIANDEN Frontière,N17A,Allemagne vers Luxembourg,Allemagne,Luxembourg,84055.21,110409.38,3,4
37,27,2020-01-18,2,C,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,2,1,2,1,0,0,0,0,0,12,VIANDEN Frontière,N17A,Luxembourg vers Allemagne,Allemagne,Luxembourg,84055.21,110409.38,1,4
